"lakeName","Year","Month","sampleID","siteID","latitude","longitude","Date","TOD","secchi","sampleDepth","wind","DIC","DOC","Altitude","windMS","conductivity","oxygenConcentration","oxygenPercent","pH","salinity","specificConductivity","TDS","temperature","Day","pco2atm","DICumol","chlvalue","CO2fluxmmolm2d","pCO2uatm"
"Springwater",2013,8,59,58,52.012359,-108.388809,2013-08-19,"9:30:00 AM",3.1,3.1,24,124.795,42.871,668,6.66666666666667,10911,1.9,27.2,8.62,6.56,11505,NA,22.3,19,395.01,10399.5833333333,1.29,28.4524930295478,961.791729157147
"Stony Beach",2013,8,82,81,50.50326,-105.194846,2013-08-27,"10:17:00 PM",0.8835,2.7,15,60.952,24.394,569,4.16666666666667,675,8.44,111.2,9.55,0.35,717,NA,21.9,27,395.01,5079.33333333333,11.805,-53.0441021863362,58.2422376915944
"Success",2013,8,100,98,50.492171,-108.016639,2013-08-17,"9:20:00 AM",4.5,17.4,5,224.866,44.697,714,1.38888888888889,28370,8.4,133,9.57,18.59,NA,19.48,22.22,17,395.01,18738.8333333333,NA,-67.1401740387534,102.909722538237
"Suffern",2013,8,68,67,52.637829,-109.898604,2013-08-20,"2:25:00 PM",2.5,8,20,61.697,14.367,632,5.55555555555556,429.6,5.5,73.1,8.41,0.22,459.2,NA,21.6,20,395.01,5141.41666666667,4.815,31.3867158905279,1002.94613059006
"Summercove",2013,8,42,41,49.323444,-107.043242,2013-08-13,"7:21:00 AM",0.52,5,0,91.065,19.927,821,0,1739,7.33,95.9,8.99,0.98,1916,NA,20.2,13,395.01,7588.75,43.64,-2.38216675012139,341.604325022501
"Sunny",2013,8,60,59,52.022343,-108.51821,2013-08-19,"11:30:00 AM",4.29,15,14,322.56,59.852,659,3.88888888888889,11976,6.8,97.1,8.87,7.17,12487,NA,22.9,19,395.01,26880,4.255,77.2251756018784,1321.59279574685
"Thackery",2013,8,74,73,52.542642,-108.68657,2013-08-21,"8:45:00 AM",0.52,1.6,15,66.453,32.945,646,4.16666666666667,2044,4.6,58.2,9.43,1.17,2277,NA,19.6,21,395.01,5537.75,35.06,-35.673807540174,78.9922867765465
"Thomson",2013,8,40,39,49.771287,-106.597559,2013-08-12,"4:40:00 PM",1.13,8.3,14,64.018,16.643,708,3.88888888888889,1825,6.56,87,8.9,1.01,1982,NA,21,12,395.01,5334.83333333333,3.16,-5.12582509265719,298.732641313563
"Tramping",2013,8,61,60,52.034119,-108.820665,2013-08-19,"2:30:00 PM",0.94,3.4,0,203.823,87.464,606,0,18844,4.3,64.2,9.14,11.56,19425,NA,23.6,19,395.01,16985.25,37.385,2.90345313791091,378.980749054176
"Unknown 1",2013,8,54,53,51.546535,-104.268454,2013-08-16,"8:50:00 AM",0.61,1.8,10,104.956,34.638,646,2.77777777777778,2298,6.74,90.2,8.77,1.27,2459,NA,21.6,16,395.01,8746.33333333333,32.255,27.3499389761296,659.330206565412
