Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1898:7:16:0 -0.366696 -0.00629767 -0.404339 -0.161378
1898:8:16:0 -0.543594 -0.078816 -0.503484 -0.252444
1898:9:16:0 -0.369904 -0.49736 -0.232791 -0.00482816
1898:10:16:0 -0.214772 -0.00556472 0.1065 -0.26524
1898:11:16:0 -0.420734 -0.0522337 0.054305 -0.421769
1898:12:16:0 -0.572194 -0.0994375 -0.0118772 -0.516537
1899:1:16:0 -0.677647 0.052183 0.064563 -0.73602
1899:2:16:0 -0.582471 -0.11019 0.0817476 -0.56825
1899:3:16:0 -0.439705 0.0725661 0.107432 -0.529704
1899:4:16:0 -0.248515 0.0901833 0.0460428 -0.316628
1899:5:16:0 -0.0313462 0.262871 -0.0148289 -0.155367
1899:6:16:0 -0.0771826 0.358341 -0.0366457 -0.23803
1899:7:16:0 0.147672 0.00657504 0.00824803 0.140261
1899:8:16:0 0.3328 1.03718 -0.0620738 -0.154755
1899:9:16:0 0.0885869 1.02717 -0.321457 -0.264268
1899:10:16:0 0.606334 0.942805 -0.493782 0.381823
1899:11:16:0 0.787686 1.00633 -0.37163 0.470338
1899:12:16:0 0.880187 0.839031 -0.31881 0.620076
1900:1:16:0 0.712374 1.1624 -0.302209 0.282281
1900:2:16:0 0.587747 1.24477 -0.0234632 -0.0229082
1900:3:16:0 0.512899 1.14473 -0.0260738 -0.0464271
1900:4:16:0 0.447012 0.848812 0.0933063 -0.024047
1900:5:16:0 0.41063 0.69297 0.0691953 0.0295467
1900:6:16:0 0.433361 0.812309 0.154778 -0.050182
1900:7:16:0 0.495548 0.569539 0.108217 0.15667
1900:8:16:0 0.508759 0.289079 0.0743676 0.327035
1900:9:16:0 0.475561 0.267486 0.0340572 0.324789
1900:10:16:0 0.460646 -0.013679 -0.174297 0.554633
1900:11:16:0 0.353503 -0.0163926 -0.10648 0.414939
1900:12:16:0 0.603642 0.10765 0.124314 0.48766
1901:1:16:0 0.629664 0.105315 -0.022942 0.588478
1901:2:16:0 0.301353 -0.0336827 -0.111777 0.374082
1901:3:16:0 0.232792 -0.266489 -0.0562922 0.394182
1901:4:16:0 0.16384 -0.24215 0.0629701 0.25343
1901:5:16:0 0.119109 -0.510902 0.0926325 0.328244
1901:6:16:0 -0.0237801 -0.571289 0.0974554 0.213137
1901:7:16:0 0.0336438 -0.435011 -0.122956 0.312627
1901:8:16:0 0.0869109 -0.282465 -0.155369 0.305828
1901:9:16:0 -0.140159 -0.320194 -0.134262 0.0870696
1901:10:16:0 -0.0896673 -0.0135452 -0.0342557 -0.0657669
1901:11:16:0 -0.23573 0.409935 -0.14196 -0.369717
1901:12:16:0 -0.224979 0.47914 -0.0606172 -0.434241
1902:1:16:0 -0.304476 0.526903 0.0883388 -0.612097
1902:2:16:0 -0.136628 0.445798 0.0266729 -0.372864
1902:3:16:0 -0.254764 0.653829 0.0687102 -0.616034
1902:4:16:0 0.271495 0.513934 0.105686 -0.0383148
1902:5:16:0 0.617094 0.596899 -0.39209 0.514689
1902:6:16:0 0.541514 1.0663 -0.470001 0.243363
1902:7:16:0 0.756772 1.20127 -0.400033 0.356153
1902:8:16:0 0.698748 0.847385 -0.404691 0.477401
1902:9:16:0 0.912148 0.906741 -0.648465 0.78301
